Date,España,Alemania,Corea del Norte
2020-12-04 00:00:00+00:00,1684647.0,1130238.0,0
2020-12-05 00:00:00+00:00,1684647.0,1153556.0,0
2020-12-06 00:00:00+00:00,1684647.0,1171323.0,0
2020-12-07 00:00:00+00:00,1702328.0,1183655.0,0
2020-12-08 00:00:00+00:00,1702328.0,1197709.0,0
2020-12-09 00:00:00+00:00,1712101.0,1218524.0,0
2020-12-10 00:00:00+00:00,1720056.0,1242203.0,0
2020-12-11 00:00:00+00:00,1730575.0,1272078.0,0
2020-12-12 00:00:00+00:00,1730575.0,1300516.0,0
2020-12-13 00:00:00+00:00,1730575.0,1320716.0,0
2020-12-14 00:00:00+00:00,1751884.0,1337078.0,0
2020-12-15 00:00:00+00:00,1762212.0,1351510.0,0
2020-12-16 00:00:00+00:00,1773290.0,1379238.0,0
2020-12-17 00:00:00+00:00,1785421.0,1406161.0,0
2020-12-18 00:00:00+00:00,1797236.0,1439938.0,0
2020-12-19 00:00:00+00:00,1797236.0,1471238.0,0
2020-12-20 00:00:00+00:00,1797236.0,1494009.0,0
2020-12-21 00:00:00+00:00,1819249.0,1510652.0,0
2020-12-22 00:00:00+00:00,1829903.0,1530180.0,0
2020-12-23 00:00:00+00:00,1842289.0,1554920.0,0
2020-12-24 00:00:00+00:00,1854951.0,1587115.0,0
2020-12-25 00:00:00+00:00,1854951.0,1612648.0,0
2020-12-26 00:00:00+00:00,1854951.0,1627103.0,0
2020-12-27 00:00:00+00:00,1854951.0,1640858.0,0
2020-12-28 00:00:00+00:00,1879413.0,1651834.0,0
2020-12-29 00:00:00+00:00,1893502.0,1664726.0,0
2020-12-30 00:00:00+00:00,1910218.0,1687185.0,0
2020-12-31 00:00:00+00:00,1928265.0,1719737.0,0
2021-01-01 00:00:00+00:00,1928265.0,1742661.0,0
2021-01-02 00:00:00+00:00,1928265.0,1755351.0,0
2021-01-03 00:00:00+00:00,1928265.0,1765666.0,0
2021-01-04 00:00:00+00:00,1958844.0,1775513.0,0
2021-01-05 00:00:00+00:00,1982544.0,1787410.0,0
2021-01-06 00:00:00+00:00,1982544.0,1808647.0,0
2021-01-07 00:00:00+00:00,2024904.0,1835038.0,0
